"days","eth"
"556","290.002319"
"557","268.704041"
"558","276.276703"
"559","269.458801"
"560","227.578064"
"561","229.776001"
"562","199.188675"
"563","211.48497"
"564","226.566162"
"565","221.33342"
"566","229.119217"
"567","225.630768"
"568","217.560013"
"569","212.728516"
"570","217.046371"
"571","219.617996"
"572","219.629608"
"573","207.40831"
"574","211.186554"
"575","211.268051"
"576","210.522598"
"577","218.654144"
"578","217.808441"
"579","217.871567"
"580","222.490341"
"581","222.669724"
"582","234.215027"
"583","226.020645"
"584","226.391006"
"585","220.941864"
"586","210.488907"
"587","206.733536"
"588","216.092865"
"589","211.288071"
"590","208.709045"
"591","186.607742"
"592","188.50206"
"593","185.440079"
"594","185.687683"
"595","194.49353"
"596","203.091934"
"597","196.565414"
"598","186.891632"
"599","191.332916"
"600","194.706207"
"601","191.289566"
"602","186.842392"
"603","188.929382"
"604","187.516663"
"605","173.889969"
"606","169.516739"
"607","168.834869"
"608","172.469788"
"609","171.629425"
"610","178.347351"
"611","179.499329"
"612","175.992889"
"613","174.217133"
"614","169.956177"
"615","178.262619"
"616","181.35553"
"617","181.14946"
"618","179.78717"
"619","178.725494"
"620","181.016098"
"621","181.109726"
"622","188.105515"
"623","189.789124"
"624","197.113174"
"625","208.608749"
"626","211.393036"
"627","221.280853"
"628","218.050049"
"629","215.516205"
"630","211.54538"
"631","201.92131"
"632","168.110733"
"633","170.8927"
"634","166.727127"
"635","174.710999"
"636","174.572891"
"637","170.503479"
"638","179.872208"
"639","177.340424"
"640","180.71051"
"641","175.199341"
"642","176.985001"
"643","176.351517"
"644","173.059143"
"645","181.18634"
"646","182.021561"
"647","193.293259"
"648","191.659668"
"649","182.569687"
"650","180.826645"
"651","182.07515"
"652","186.960907"
"653","181.406067"
"654","176.013504"
"655","178.028351"
"656","173.621338"
"657","172.913025"
"658","175.534378"
"659","174.92099"
"660","172.300858"
"661","162.402786"
"662","162.168549"
"663","181.523209"
"664","179.83548"
"665","184.242218"
"666","182.662811"
"667","190.342575"
"668","184.692169"
"669","183.966919"
"670","183.969894"
"671","183.92572"
"672","182.425018"
"673","186.355194"
"674","189.304169"
"675","191.593842"
"676","187.976547"
"677","184.211472"
"678","185.028717"
"679","189.47728"
"680","185.489639"
"681","186.843414"
"682","188.258743"
"683","185.999634"
"684","180.521179"
"685","183.348358"
"686","185.119232"
"687","180.559601"
"688","177.455551"
"689","175.698349"
"690","161.462723"
"691","150.268173"
"692","153.417786"
"693","142.834702"
"694","146.476532"
"695","148.965073"
"696","153.010559"
"697","151.717575"
"698","155.304153"
"699","152.539688"
"700","151.18573"
"701","149.059158"
"702","147.956421"
"703","146.747742"
"704","149.248993"
"705","149.194443"
"706","148.768158"
"707","151.264725"
"708","148.225174"
"709","146.267044"
"710","143.608002"
"711","145.604004"
"712","144.944748"
"713","142.869232"
"714","143.11499"
"715","133.614029"
"716","122.603889"
"717","133.092194"
"718","129.321136"
"719","129.066055"
"720","128.130951"
"721","132.372513"
"722","128.61409"
